Index,Word,Meaning
1,property,"mülk,nesne,eşya"
2,instance,"örneğin,misal"
3,orinted,"amaclı,yonlu,tabanlı (object oriented proggramming)"
*4,attrıbute,"özellik,nitelik"
5,substance,madde
*6,profit,"kar,kazanc,getiri"
7,particular,"özel,özgü"
8,withstand,"dayanmak,direnmek,karsı koymak"
9,oppose,"karsı cıkmak,karsı olmak,kafa tutmak"
10,handling,"basa cıkmak,idare etmek"
11,exception,istisna
12,traceback,geri izleme
13,division,"bölmek,bolme işlemi"
*14,labour,"işcilik,iş gucu"
15,literal,tam anlamıyla
16,detected,saptanmıs
17,contain,"içermek,kapsamak"
18,summary,özet
19,mane,yele
*20,depict,"tasvir etmek,betimlemek"
21,represent,temsil etmek
*22,appropriate,"uygun,tam yerinde,özgü"
23,footwear,ayaga giyilen seyler
24,gap,"acıklık,bosluk,aralık"
25,squeeze,sıkmak
26,firmly,sıkıca
27,coincidence,"tesaduf,rastlantı"
28,unlikely,olası değil
29,likely,olası
30,measure,"ölcum,ölcu"
31,flour,un
32,powder,pudra
*33,loose,"gevsetmek,serbest,sıkı degil."
34,held,hold un gecmıs zamanı
*35,leak,"sızıntı,sızmak"
36,crack,"catlamak,catırdı"
37,surface,yüzey
*38,layer,"katman,tabaka"
39,container,konteyner
40,airtight,hava gecirmez
*41,goods,"mal,esya"
*42,insurance,sigorta
43,unconcıous,bilincsiz
44,narrator,anlatıcı
45,mortal,ölümlü
46,define,tanımlamak
47,desire,"arzu,istek"
48,declare,"ilan etmek,acıklamak,bildirmek"
49,interface,arayuz
50,interact,etkılesime girmek
51,endpoint,"uc nokta,son hedef,bitim noktası"
52,client,müsteri
53,remote,"uzak,uzakta olan sey,uzaktan kumanda"
54,display,"görüntüleme,görüntü"
*55,arrange,"ayarlamak,düzenlemek"
*56,enable,"olanak vermek,olanak tanımak"
*57,regardless,"ne olursa olsun,kayıtsız,aldırıssız"
58,notıceable,"fark edilebilir,dikkate deger"
59,recognize,tanımak
*60,diverse,"türlü,cesıt cesıt"
*61,myriad,cok buyuk sayı
*62,pursue,"izlemek,takip etmek,pesınde kosmak"
*63,avenue,"cadde,bulvar"
*64,broad,geniş
65,disgraceful,"utanc verici,utandırıcı"
66,reverse,"basarısızlık,ters,aksi"
67,convert,donusturmek
68,merge,"birlestirmek,kaynastırmak"
69,command,emir
70,syntax,"sözdizim kuralları,gramer yapısı"
*71,illustrate,"örneklerle acıklamak,örneklemek"
72,hint,"ipucu,ima etmek"
73,variable,degişken
74,multiply,carpma işlemi
*75,workaround,"gecici cozum,anlık cozum"
*76,glitch,"kusur,arıza,hata"
77,prevent,önlemek
78,confusing,kafa karıstırmak
79,smoothly,"kolayca,puruzsuzce"
*80,duplicate,"yedek,kopya"
81,concern,"endişelenmek,kaygı"
82,assign,"atamak,tanımlamak,gorev vermek"
83,bracket,parantez
84,quatatıon marks,tırnak işareti
85,interpreter,"tercuman,yorumlayıcı"
86,backwards,"arka tarafa,geri,ters olarak"
87,sequence,"sıra,dizi"
88,inclusive,dahil
89,exclusive,dahil degil
*90,mutable,"kararsız,degişken,degisebilir"
91,curly braces,süslü parantez
92,sum,toplamak
*93,currency,"döviz,para birimi"
*94,immutable,"sabit,degişmez"
95,predictable,tahmin edilebilir
*96,ultimate,"nihai,son,netice"
*97,utilize,"faydalanmak,yarar sağlamak"
98,widespread,yaygın
*99,expand,"genişlemek,"
*100,expose,"maruz bırakmak,ortaya cıkarmak"
*101,accurate,"dogru,kesin,yanlıs yapmamaya ozen gostermek"
102,examine,"muayene,inceleme,irdeleme"
103,odd number,tek sayı
104,even number,cift sayı
*105,constantly,"sürekli,durmaksızın,sık sık"
